ImageId,CompanyId,ShareLevel
1263630,14,1
1281629,14,1
1325860,14,1
1361546,14,1
1372693,14,1
1372715,14,1
1374747,51,1
1401271,51,3
1401286,51,3
1401288,51,3
1401299,51,3
1401442,51,1
1402384,51,1
1403175,28,1
1403176,28,1
1413774,14,1
1416912,14,1
1422524,14,1
1428991,51,3
1429005,51,3
1433592,51,3
1437429,51,3
1437480,51,3
1437497,51,3
1437590,51,3
1455441,51,3
1455442,51,3
1456058,51,3
1464261,14,1
1464272,14,1
1486907,51,1
1486927,51,1
1489432,51,1
1508117,51,1
1515174,14,1
1516256,51,1
1528484,14,1
1542508,20,3
1547406,51,3
1549844,51,1
1549879,51,1
1553680,14,1
1563801,14,1
1579892,51,3
1580535,51,3
1587515,51,3
1587516,51,3
1588287,14,1
1589145,14,1
1592886,14,1
1597094,51,3
1603831,51,1
1605673,51,1
1606444,51,1
1606737,51,1
1609568,51,3
1609790,51,3
1610381,51,1
1610382,51,1
1622081,51,1
1622085,51,1
1622086,51,1
1623131,51,1
1623190,51,1
1623714,51,3
1623727,51,1
1624076,51,1
1624138,51,1
1624757,51,3
1625012,51,3
1625245,51,3
1626327,51,1
1626505,51,1
1628294,14,3
1628298,14,3
1628299,14,3
1628301,14,3
1628302,14,3
1630027,51,1
1630060,51,1
1633672,14,1
1635254,51,3
1635266,51,1
1636163,51,1
1636348,51,1
1636391,51,1
1636461,14,1
1636643,51,1
1636779,51,1
1637531,14,1
1637536,14,1
1637570,51,1
1638621,51,1
1639963,14,1
1639969,14,1
1640061,14,1
1640451,51,3
1640818,51,1
1642264,51,3
1645759,14,1
1647219,14,1
1647742,51,3
1650004,51,3
1650776,14,1
1651439,51,1
1652890,51,1
1652986,51,1
1653637,51,1
1653664,51,1
1653668,51,1
1653768,51,1
1653903,51,1
1653936,51,1
1654043,51,3
1654094,51,1
1654245,51,1
1654290,51,1
1654339,51,1
1654382,51,1
1654889,51,1
1654985,51,1
1655000,51,1
1655076,51,1
1655094,51,1
1655269,51,1
1655444,51,1
1655664,51,1
1655759,51,1
1655787,51,1
1655808,51,1
1655809,51,1
1655881,51,1
1656177,51,1
1656200,51,1
1656209,51,1
1656228,51,1
1656291,51,1
1656448,51,1
1656486,51,1
1657081,51,1
1657632,51,1
1657633,51,1
1658137,51,1
1658187,51,1
1658315,51,1
1658344,51,1
1659006,51,1
1660249,51,1
1666357,51,1
1668493,51,1
1668703,51,1
1668800,51,1
1669062,51,3
1673433,51,1
1677363,51,1
1677376,51,1
1677377,51,1
1677378,51,1
1677379,51,1
1677381,51,1
1677382,51,1
1677383,51,1
1677385,51,1
1677386,51,1
1677387,51,1
1677388,51,1
1677389,51,1
1677390,51,1
1677391,51,1
1677393,51,1
1678745,51,1
1680006,14,1
1682176,14,1
1683847,51,1
1693683,14,1
1702506,51,1
1703014,51,1
1707572,14,1
1707575,14,1
1708099,14,1
1709634,14,1
1709654,14,1
1711109,51,1
1720946,14,1
1721908,14,1
1723986,14,1
1725242,51,1
1729694,14,1
1729718,14,1
1733961,51,1
1738282,14,1
1741742,14,1
1743690,51,1
1744651,14,1
1745671,14,3
1746203,51,1
1746540,51,1
1748226,51,2
1751513,14,1
1751532,14,1
1751575,14,1
1752000,51,1
1754542,14,1
1761025,14,3
1761026,14,3
1763453,14,1
1763477,14,1
1764789,14,1
1770307,51,1
1770647,14,1
